,AAAAAAAA,AAABAAAA,ABAAAAAA,AABAAAAA,AAAABAAA,AAAAAAAB,AAAAAABA,BAAAAAAA,AAAAABAA,ABABAAAA,BAABAAAA,BAAAABAA,AAABABAA,AAAABAAB,AAAAAABB
AAAAAAAA,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.25,0.25,0.25,0.25,0.25,0.25
AAABAAAA,0.125,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.125,0.125,0.375,0.125,0.375,0.375
ABAAAAAA,0.125,0.25,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.125,0.375,0.375,0.375,0.375,0.375
AABAAAAA,0.125,0.25,0.25,0.0,0.25,0.25,0.25,0.25,0.25,0.375,0.375,0.375,0.375,0.375,0.375
AAAABAAA,0.125,0.25,0.25,0.25,0.0,0.25,0.25,0.25,0.25,0.375,0.375,0.375,0.375,0.125,0.375
AAAAAAAB,0.125,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.25,0.375,0.375,0.375,0.375,0.125,0.125
AAAAAABA,0.125,0.25,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.375,0.375,0.375,0.375,0.375,0.125
BAAAAAAA,0.125,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.25,0.375,0.125,0.125,0.375,0.375,0.375
AAAAABAA,0.125,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.375,0.375,0.125,0.125,0.375,0.375
ABABAAAA,0.25,0.125,0.125,0.375,0.375,0.375,0.375,0.375,0.375,0.0,0.25,0.5,0.25,0.5,0.5
BAABAAAA,0.25,0.125,0.375,0.375,0.375,0.375,0.375,0.125,0.375,0.25,0.0,0.25,0.25,0.5,0.5
BAAAABAA,0.25,0.375,0.375,0.375,0.375,0.375,0.375,0.125,0.125,0.5,0.25,0.0,0.25,0.5,0.5
AAABABAA,0.25,0.125,0.375,0.375,0.375,0.375,0.375,0.375,0.125,0.25,0.25,0.25,0.0,0.5,0.5
AAAABAAB,0.25,0.375,0.375,0.375,0.125,0.125,0.375,0.375,0.375,0.5,0.5,0.5,0.5,0.0,0.25
AAAAAABB,0.25,0.375,0.375,0.375,0.375,0.125,0.125,0.375,0.375,0.5,0.5,0.5,0.5,0.25,0.0
