,BBBBBBBB,AAAAAAAA,BBABBBBB,BBBBABBB,BBBBBBBA,BBBBBABB,ABBBBBBB,BBBBBBAB,BABBBBBB,BBBABBBB,AAAAAAAB,BAAAAAAA,ABAAAAAA,AAAAABAA,AAAAAABA
BBBBBBBB,0.0,1.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.875,0.875,0.875,0.875,0.875
AAAAAAAA,1.0,0.0,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.125,0.125,0.125,0.125,0.125
BBABBBBB,0.125,0.875,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.75,0.75,0.75,0.75,0.75
BBBBABBB,0.125,0.875,0.25,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.75,0.75,0.75,0.75,0.75
BBBBBBBA,0.125,0.875,0.25,0.25,0.0,0.25,0.25,0.25,0.25,0.25,1.0,0.75,0.75,0.75,0.75
BBBBBABB,0.125,0.875,0.25,0.25,0.25,0.0,0.25,0.25,0.25,0.25,0.75,0.75,0.75,1.0,0.75
ABBBBBBB,0.125,0.875,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.25,0.75,1.0,0.75,0.75,0.75
BBBBBBAB,0.125,0.875,0.25,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.75,0.75,0.75,0.75,1.0
BABBBBBB,0.125,0.875,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.25,0.75,0.75,1.0,0.75,0.75
BBBABBBB,0.125,0.875,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.75,0.75,0.75,0.75,0.75
AAAAAAAB,0.875,0.125,0.75,0.75,1.0,0.75,0.75,0.75,0.75,0.75,0.0,0.25,0.25,0.25,0.25
BAAAAAAA,0.875,0.125,0.75,0.75,0.75,0.75,1.0,0.75,0.75,0.75,0.25,0.0,0.25,0.25,0.25
ABAAAAAA,0.875,0.125,0.75,0.75,0.75,0.75,0.75,0.75,1.0,0.75,0.25,0.25,0.0,0.25,0.25
AAAAABAA,0.875,0.125,0.75,0.75,0.75,1.0,0.75,0.75,0.75,0.75,0.25,0.25,0.25,0.0,0.25
AAAAAABA,0.875,0.125,0.75,0.75,0.75,0.75,0.75,1.0,0.75,0.75,0.25,0.25,0.25,0.25,0.0
