,contact_rate_host_host,fitnessHost,mutant_frac,mut_frac_inf_hosts,num_genomes,max_gen_distance,gen_variance,ssq_genomes,infected_hosts,pwd_genomes,mut_frac_hosts
0,0.2,1.0,1.0,1.0,11703,28,38.856238924109704,1852356,0.49,31.84797512755102,0.49
1,0.2,0.947,1.0,1.0,11913,18,8.196468141754291,499194,0.488,12.4112074653596,0.488
2,0.2,0.895,1.0,1.0,11549,14,4.5625631502123785,393561,0.48,9.372290249433107,0.48
3,0.2,0.842,1.0,1.0,12154,11,2.3128115207045212,195515,0.49,7.136110642604149,0.49
4,0.2,0.789,1.0,1.0,11909,10,1.7877632533176744,155146,0.464,6.81366984663688,0.464
5,0.2,0.737,1.0,1.0,11851,9,1.3002048948265963,123422,0.556,5.751402123076326,0.556
6,0.2,0.684,0.8907692307692308,0.6801801801801802,11601,8,0.9572493821127052,70810,0.444,4.336462585034013,0.30200000000000005
7,0.2,0.632,0.8071672354948806,0.5043859649122807,11301,7,0.8473834621847535,62375,0.456,3.7088122605363987,0.23
8,0.2,0.579,0.7582608695652174,0.43951612903225806,11000,8,0.6449840578512397,47849,0.496,3.631191135734072,0.218
9,0.2,0.526,0.7827529021558872,0.484251968503937,10759,6,0.5428667717249341,42349,0.508,3.395265306122449,0.246
10,0.2,0.474,0.695139911634757,0.20077220077220076,10562,6,0.5190394507705038,38640,0.518,3.000068679746343,0.104
11,0.2,0.421,0.7472,0.38996138996138996,10216,5,0.45381987710710975,32643,0.518,2.931982797645994,0.202
12,0.2,0.368,0.6213389121338913,0.23628691983122363,9897,5,0.3926531789097911,28362,0.474,2.8290753374945568,0.11199999999999999
13,0.2,0.316,0.6567164179104478,0.2550607287449393,9432,5,0.3602062704445409,24407,0.494,2.701480621280302,0.126
14,0.2,0.263,0.6055045871559633,0.14342629482071714,9053,5,0.3068368608641168,20743,0.502,2.5864621115576902,0.07200000000000001
15,0.2,0.211,0.5080831408775982,0.10504201680672269,8615,4,0.25752035972296566,17567,0.476,2.3552631578947367,0.049999999999999996
16,0.2,0.158,0.5254901960784314,0.10037174721189591,8084,3,0.19496364373974312,13966,0.538,2.277815626232565,0.054000000000000006
17,0.2,0.105,0.4175,0.03319502074688797,7593,3,0.1371129518619021,11159,0.482,2.127626886145405,0.016
18,0.2,0.053,0.40540540540540543,0.00411522633744856,7090,3,0.06849107087795243,8628,0.486,1.9841585872576177,0.002
19,0.2,0.0,0.33506493506493507,0.0,6729,1,0.00014858840682242526,6728,0.512,1.9661865234375,0.0
20,0.195,1.0,1.0,1.0,11303,29,30.792861421097165,1439924,0.49,22.642168864131534,0.49
21,0.195,0.947,1.0,1.0,11680,19,9.063886509840026,570063,0.488,13.396468144044322,0.488
22,0.195,0.895,1.0,1.0,11581,13,4.333466838591874,342970,0.512,8.56675290868399,0.512
23,0.195,0.842,1.0,1.0,11414,12,2.994725367010452,237404,0.454,7.10351647482299,0.454
24,0.195,0.789,0.8698412698412699,0.6758893280632411,11315,9,1.7234727930283107,112174,0.506,4.710481856038073,0.34199999999999997
25,0.195,0.737,1.0,1.0,11478,9,1.505515965283222,114390,0.51,7.393912424350303,0.51
26,0.195,0.684,0.8565683646112601,0.5868725868725869,10942,7,0.9630544025006682,68037,0.518,4.544007561436673,0.30400000000000005
27,0.195,0.632,0.837037037037037,0.5510204081632653,10615,6,0.8640845558225648,56966,0.49,3.7863602023763194,0.26999999999999996
28,0.195,0.579,0.830945558739255,0.5461538461538461,10505,7,0.707885662660128,48068,0.52,3.455831657569664,0.284
29,0.195,0.526,0.8133333333333334,0.5,10673,8,0.6383726293263866,45177,0.448,3.3777345649003405,0.224
30,0.195,0.474,0.712890625,0.3950617283950617,10214,5,0.5072270332833119,36726,0.486,3.377984297388239,0.19199999999999998
31,0.195,0.421,0.6313868613138686,0.24344569288389514,10106,6,0.4449223741892246,31862,0.534,2.885208220659816,0.13
32,0.195,0.368,0.6365461847389559,0.24267782426778242,9510,5,0.40732856332533907,27006,0.478,2.9627343392775494,0.11599999999999999
33,0.195,0.316,0.5975609756097561,0.15073529411764705,9241,5,0.37877393928651126,24291,0.544,2.5760633680555554,0.082
34,0.195,0.263,0.5939086294416244,0.21568627450980393,8865,4,0.3029022477603992,20170,0.408,2.7107482698961936,0.088
35,0.195,0.211,0.5369003690036901,0.07037037037037037,8392,4,0.25775007247358006,17148,0.54,2.463374291115312,0.038000000000000006
36,0.195,0.158,0.455531453362256,0.04198473282442748,7989,4,0.20801151339005516,14124,0.524,2.249367515601282,0.022000000000000002
37,0.195,0.105,0.4253731343283582,0.029411764705882353,7567,3,0.1530098530917731,11581,0.476,2.170275312341003,0.013999999999999999
38,0.195,0.053,0.34844192634560905,0.02127659574468085,6988,3,0.07552402368407171,8672,0.47,2.141322386234606,0.009999999999999998
39,0.195,0.0,0.34464751958224543,0.0,6676,1,0.00014976785645692193,6675,0.502,1.9683419074000792,0.0
40,0.189,1.0,1.0,1.0,11140,23,29.182026138682158,1311619,0.47,21.027396683780825,0.47
41,0.189,0.947,1.0,1.0,11195,19,8.876932800943765,535411,0.488,12.832590378520447,0.488
42,0.189,0.895,1.0,1.0,11138,14,4.274906452010125,325744,0.408,8.565483776100383,0.408
43,0.189,0.842,1.0,1.0,11138,11,2.781467426669084,211870,0.51,5.964286531901742,0.51
44,0.189,0.789,1.0,1.0,10499,11,1.6346232512803052,111012,0.46,6.100611136260752,0.46
45,0.189,0.737,0.8398058252427184,0.610236220472441,10839,9,1.4140328871046108,86096,0.508,3.865151852676914,0.31
46,0.189,0.684,0.9039855072463768,0.7754237288135594,11057,8,1.0368425679200421,71060,0.472,4.095997836668469,0.366
47,0.189,0.632,0.8197343453510436,0.5905172413793104,10538,7,0.8559872573517792,56071,0.464,3.692708907254362,0.274
48,0.189,0.579,0.8785357737104825,0.6958333333333333,10418,6,0.6478274823825046,45881,0.48,3.91298635372809,0.33399999999999996
49,0.189,0.526,0.7542242703533026,0.36507936507936506,10239,6,0.6427868235717767,41824,0.504,3.0223280325443787,0.184
50,0.189,0.474,0.7362428842504743,0.4034334763948498,9894,6,0.5606647769775835,35986,0.466,3.301832027714491,0.188
51,0.189,0.421,0.7360308285163777,0.4385245901639344,9862,6,0.4757345959518171,32566,0.488,3.1013555291319856,0.214
52,0.189,0.368,0.7257383966244726,0.4063926940639269,9183,5,0.4175920381075262,26724,0.438,2.9054560599750103,0.178
53,0.189,0.316,0.5727069351230425,0.200836820083682,8941,4,0.35649372070052093,22625,0.478,2.658053018489641,0.09599999999999999
54,0.189,0.263,0.567287784679089,0.1867704280155642,8616,5,0.30954123862322613,19809,0.514,2.439192437109438,0.096
55,0.189,0.211,0.509009009009009,0.128,8173,4,0.2574116332259343,16505,0.5,2.290945290858726,0.064
56,0.189,0.158,0.4831932773109244,0.07169811320754717,7566,4,0.19237622308127628,12757,0.53,2.2026156398287102,0.038
57,0.189,0.105,0.4557291666666667,0.06278026905829596,7339,3,0.14181695853288512,10904,0.446,2.1650443300886604,0.028
58,0.189,0.053,0.34770114942528735,0.0043859649122807015,7019,3,0.07945738066588681,8763,0.456,1.9802295918367347,0.002
59,0.189,0.0,0.2832764505119454,0.0,6579,1,0.0001519756803793875,6578,0.42,1.9518072289156627,0.0
60,0.184,1.0,1.0,1.0,11056,26,26.2635463178116,1264490,0.428,23.85038062283737,0.428
61,0.184,0.947,1.0,1.0,10937,20,14.974792474531984,873638,0.486,16.154725881096475,0.486
62,0.184,0.895,1.0,1.0,10746,13,4.768080741195897,301436,0.462,10.23681640625,0.462
63,0.184,0.842,1.0,1.0,10830,12,3.3801939058171744,221475,0.466,7.7742766547760604,0.466
64,0.184,0.789,1.0,1.0,10635,11,1.986791747096513,146393,0.452,7.22014249486777,0.452
65,0.184,0.737,0.98,0.9483568075117371,10678,9,1.3034843790656359,93501,0.426,6.356605599076183,0.404
66,0.184,0.684,0.8389830508474576,0.6074380165289256,10660,8,1.1462522660152277,74198,0.484,4.084628099173553,0.294
67,0.184,0.632,0.8500797448165869,0.6099585062240664,10353,7,0.9626661230811598,63041,0.482,4.352433837429111,0.29400000000000004
68,0.184,0.579,0.7472727272727273,0.43724696356275305,10111,7,0.7490128097551457,48362,0.494,3.4905190311418686,0.216
69,0.184,0.526,0.7495527728085868,0.4444444444444444,9778,6,0.6155455363518881,39494,0.504,3.3207612456747406,0.22399999999999998
70,0.184,0.474,0.7318007662835249,0.3832599118942731,9586,5,0.5074830400878881,33899,0.454,3.0497566252028125,0.174
71,0.184,0.421,0.6848484848484848,0.3157894736842105,9564,5,0.49217051220761804,31830,0.456,2.81665306122449,0.144
72,0.184,0.368,0.6566265060240963,0.22972972972972974,9033,5,0.42301827748481297,26015,0.444,2.7012850313582737,0.10200000000000001
73,0.184,0.316,0.5520581113801453,0.14746543778801843,8502,5,0.3721858158272473,21995,0.434,2.3838841104572204,0.064
74,0.184,0.263,0.6187845303867403,0.17857142857142858,8362,4,0.317031907249347,19376,0.504,2.7135880494110887,0.09
75,0.184,0.211,0.581986143187067,0.18468468468468469,8194,4,0.27854048715762597,17200,0.444,2.301078254431024,0.082
76,0.184,0.158,0.5034642032332564,0.12244897959183673,7638,4,0.2065869985802304,13364,0.49,2.2418628808864267,0.06
