,pop_size_host:my_population,mutant_frac,num_genomes,max_gen_distance,gen_variance,ssq_genomes,infected_hosts,mut_frac_inf_hosts,mut_frac_hosts
0,5,,4,2,0.5,6,0.0,,
1,10,,3,1,0.22222222222222224,2,0.0,,
2,15,,135,8,3.555336076817558,3076,0.0,,
3,20,,44,2,0.128099173553719,58,0.0,,
4,25,1.0,532,7,1.2747576177285318,4109,0.64,1.0,0.64
5,30,1.0,685,9,3.0638947200170494,11532,0.4,1.0,0.4
6,35,,580,6,1.747832936979786,4775,0.0,,
7,40,1.0,893,6,0.9049331054399717,4766,0.425,1.0,0.425
8,45,1.0,995,7,0.9647978586399334,5842,0.5333333333333333,1.0,0.5333333333333333
9,50,1.0,1080,6,0.8999922839506171,7007,0.46,1.0,0.46
10,60,1.0,1425,6,0.7945071098799631,10859,0.45,1.0,0.45
11,70,1.0,1652,5,0.6825108167369218,6971,0.5285714285714286,1.0,0.5285714285714286
12,80,1.0,1871,5,0.6652170273958399,7950,0.4875,1.0,0.4875
13,90,0.6116504854368932,2015,5,0.5795235485718154,7736,0.5111111111111111,0.13043478260869565,0.06666666666666667
14,100,0.7864077669902912,2182,4,0.6382931845505389,8367,0.47,0.5319148936170213,0.24999999999999997
15,200,0.6958762886597938,4309,5,0.5927708772126924,16594,0.45,0.34444444444444444,0.155
16,300,0.7751322751322751,6484,6,0.5913928833885602,24505,0.5333333333333333,0.46875,0.25
17,400,0.7823275862068966,8259,5,0.5335778801101246,31407,0.425,0.40588235294117647,0.1725
18,500,0.8232558139534883,10590,6,0.556749236054824,40855,0.482,0.5269709543568465,0.254
19,5,,1,0,0.0,0,0.0,,
20,10,,12,2,0.16666666666666666,14,0.0,,
21,15,,4,1,0.1875,3,0.0,,
22,20,,125,7,2.2511360000000007,1267,0.0,,
23,25,,13,2,0.22485207100591717,18,0.0,,
24,30,,2,1,0.25,1,0.0,,
25,35,1.0,713,8,3.0526920406240348,9830,0.6285714285714286,1.0,0.6285714285714286
26,40,1.0,761,7,1.3774081754935497,11255,0.5,1.0,0.5
27,45,0.5333333333333333,927,5,0.697209101519907,3523,0.24444444444444444,0.36363636363636365,0.08888888888888889
28,50,1.0,1143,7,0.8887159008885918,5441,0.62,1.0,0.62
29,60,0.7469879518072289,1277,5,0.4576542147714305,3698,0.5666666666666667,0.38235294117647056,0.21666666666666665
30,70,1.0,1524,9,1.4084512196802172,20239,0.4142857142857143,1.0,0.4142857142857143
31,80,0.686046511627907,1789,5,0.6501491475919078,6805,0.525,0.35714285714285715,0.1875
32,90,0.8130841121495327,1961,4,0.5610303519341072,7415,0.5444444444444444,0.5918367346938775,0.3222222222222222
33,100,0.7258064516129032,2301,5,0.6271819160688406,9234,0.55,0.38181818181818183,0.21000000000000002
34,200,0.7916666666666666,4302,5,0.5399653561931883,16087,0.475,0.47368421052631576,0.22499999999999998
35,300,0.8099762470308789,6634,6,0.602132753779622,24608,0.52,0.48717948717948717,0.25333333333333335
36,400,0.7096774193548387,8354,6,0.5531606729029984,30809,0.5375,0.3302325581395349,0.1775
37,500,0.7001934235976789,10259,5,0.5294285358849998,39096,0.466,0.33476394849785407,0.156
38,5,,4,1,0.1875,3,0.0,,
39,10,,38,3,0.33033240997229907,81,0.0,,
40,15,,5,1,0.16000000000000006,4,0.0,,
41,20,,37,2,0.23813002191380564,66,0.0,,
42,25,,212,4,0.4477572089711641,584,0.0,,
43,30,,533,6,1.074050737620957,5022,0.0,,
44,35,1.0,751,8,2.16324084531765,7734,0.45714285714285713,1.0,0.45714285714285713
45,40,1.0,887,7,1.9875719556820366,13855,0.5,1.0,0.5
46,45,1.0,1020,6,0.8797568242983468,4737,0.35555555555555557,1.0,0.35555555555555557
47,50,1.0,1113,6,0.6972018189024749,8156,0.36,1.0,0.36
48,60,,2,1,0.25,1,0.0,,
49,70,0.6625,1599,5,0.627632733247523,5984,0.5285714285714286,0.2702702702702703,0.14285714285714288
50,80,0.6888888888888889,1743,5,0.5406318331271155,5925,0.6,0.4166666666666667,0.25
51,90,0.6391752577319587,1975,5,0.6045251722480371,7245,0.4777777777777778,0.18604651162790697,0.08888888888888889
52,100,0.6875,2119,6,0.5774594719432109,7625,0.44,0.3181818181818182,0.13999999999999999
53,200,0.8220064724919094,4616,5,0.62755422327283,18490,0.535,0.48598130841121495,0.26
54,300,0.7550432276657061,6406,6,0.5544147945518997,23985,0.49666666666666665,0.42953020134228187,0.21333333333333332
55,400,0.6955684007707129,8296,6,0.5599547108945859,31948,0.565,0.3008849557522124,0.16999999999999998
56,500,0.7425925925925926,10394,8,0.5419165650732692,40036,0.486,0.4279835390946502,0.208
57,5,,5,2,0.4,7,0.0,,
58,10,,38,2,0.2583102493074793,73,0.0,,
59,15,,144,5,1.31592399691358,923,0.0,,
60,20,,72,3,0.5121527777777778,227,0.0,,
61,25,,210,5,1.1723582766439908,1267,0.0,,
62,30,,281,6,0.6189637922518713,835,0.0,,
63,35,1.0,796,8,1.860268680083836,11642,0.34285714285714286,1.0,0.34285714285714286
