,migration_rate,mutant_frac,num_genomes,max_gen_distance,gen_variance,ssq_genomes,infected_hosts,mut_frac_inf_hosts,mut_frac_hosts
0,0.02,0.7428571428571429,1907,5,0.7540931225422085,7928,0.54,0.5,0.27
1,0.02,0.91,1905,6,0.7509609330329772,8264,0.42,0.7857142857142857,0.32999999999999996
2,0.02,1.0,1904,6,0.7419670993397359,8429,0.46,1.0,0.46
3,0.02,1.0,1867,7,1.3328429472623633,18316,0.41,1.0,0.41
4,0.02,0.7456140350877193,2067,5,0.6044846458352497,7930,0.46,0.3695652173913043,0.16999999999999998
5,0.02,1.0,1917,6,1.0494885695867273,13594,0.43,1.0,0.43
6,0.02,1.0,1925,7,0.8469837072018891,14032,0.5,1.0,0.5
7,0.02,1.0,1934,7,0.819653797659902,8729,0.47,1.0,0.47
8,0.02,0.875,2031,5,0.7280931868204331,8960,0.32,0.75,0.24
9,0.02,1.0,2061,7,0.6958126487120977,15614,0.32,1.0,0.32
10,0.02,1.0,1938,6,1.0282165606452236,10015,0.44,1.0,0.44
11,0.02,1.0,2078,8,1.202735287224612,12762,0.42,1.0,0.42
12,0.02,1.0,1981,6,1.1035845071337729,15920,0.41,1.0,0.41
13,0.02,1.0,1928,6,0.9044265766773989,10928,0.33,1.0,0.33
14,0.02,1.0,1963,6,0.8110170606552344,9919,0.43,1.0,0.43
15,0.02,1.0,2005,6,0.9753635860473504,14918,0.4,1.0,0.4
16,0.02,0.7281553398058253,1882,6,0.6739478317434252,7418,0.5,0.44,0.22
17,0.02,1.0,2053,6,0.8736130154415063,13077,0.48,1.0,0.48
18,0.02,1.0,1943,6,0.7466681005676711,13378,0.39,1.0,0.39
19,0.02,1.0,1971,7,1.2351105231848614,13523,0.48,1.0,0.48
20,0.02,1.0,2032,6,0.739112923538347,11463,0.45,1.0,0.45
21,0.02,0.6790123456790124,1917,6,0.7235734194964799,8028,0.35,0.2571428571428571,0.08999999999999998
22,0.02,1.0,2002,7,1.2558380680258805,15680,0.25,1.0,0.25
23,0.02,1.0,1924,7,0.982095891269488,16177,0.49,1.0,0.49
24,0.02,1.0,1966,7,1.0483116334761133,11624,0.51,1.0,0.51
