,recombine_in_host,mutant_frac,num_genomes,max_gen_distance,gen_variance,ssq_genomes,infected_hosts,mut_frac_inf_hosts,mut_frac_hosts
0,1.0,0.7520938023450586,11640,6,0.5479044812295556,45909,0.526,0.4372623574144487,0.23
1,0.8888888888888888,0.7565674255691769,11874,6,0.5648895401604558,48378,0.47,0.4085106382978723,0.19199999999999998
2,0.7777777777777778,0.7255892255892256,11962,6,0.5654096817931588,47339,0.506,0.3557312252964427,0.18
3,0.6666666666666667,0.7081174438687392,11824,6,0.5440416292245673,45771,0.448,0.24553571428571427,0.11
4,0.5555555555555556,0.7315875613747954,11315,6,0.5610442771953044,44496,0.49,0.3306122448979592,0.162
5,0.4444444444444444,0.7304625199362041,11257,5,0.5810744438711509,44554,0.526,0.3574144486692015,0.188
6,0.33333333333333337,0.7631578947368421,11091,6,0.5611828982001918,43526,0.568,0.397887323943662,0.226
7,0.22222222222222232,0.7041420118343196,10786,6,0.5732082890757187,41303,0.448,0.33035714285714285,0.148
8,0.11111111111111116,0.650088809946714,10691,5,0.5176756957574595,39772,0.524,0.2480916030534351,0.13
9,0.0,0.64,10505,6,0.5559774373663546,40408,0.45,0.28,0.12600000000000003
10,1.0,0.725314183123878,12396,6,0.5826931115607248,51573,0.45,0.32,0.14400000000000002
11,0.8888888888888888,0.7264808362369338,11897,6,0.5687981997901365,47995,0.5,0.372,0.186
12,0.7777777777777778,0.6533795493934142,11941,6,0.5364342750398965,45873,0.516,0.2248062015503876,0.116
13,0.6666666666666667,0.7881996974281392,11461,6,0.5600946007789104,44678,0.516,0.4573643410852713,0.236
14,0.5555555555555556,0.7591973244147158,11411,5,0.5291514526650187,42802,0.488,0.4098360655737705,0.2
15,0.4444444444444444,0.7842031029619182,11042,6,0.5537467536393701,41856,0.504,0.39285714285714285,0.198
16,0.33333333333333337,0.7682926829268293,10688,6,0.5293439978435719,39345,0.456,0.4166666666666667,0.19
17,0.22222222222222232,0.6888045540796964,11029,6,0.5727300870944668,42992,0.478,0.3138075313807531,0.15
18,0.11111111111111116,0.7824675324675324,10452,6,0.5403382404267046,39323,0.516,0.4806201550387597,0.24800000000000003
19,0.0,0.7662538699690402,10764,5,0.5290778571399966,40898,0.504,0.4007936507936508,0.202
20,1.0,0.7809076682316118,12170,6,0.5743002682485658,49603,0.486,0.42386831275720166,0.206
21,0.8888888888888888,0.7880690737833596,12057,6,0.555410004078592,48186,0.494,0.4534412955465587,0.224
22,0.7777777777777778,0.7226277372262774,11968,7,0.592437425603749,48978,0.476,0.36134453781512604,0.172
23,0.6666666666666667,0.6787762906309751,11549,6,0.5693514697970491,45723,0.464,0.27586206896551724,0.128
24,0.5555555555555556,0.7533432392273403,11498,6,0.5255422748012988,44613,0.506,0.3438735177865613,0.17400000000000002
25,0.4444444444444444,0.7217537942664418,11229,5,0.5304121031664882,42568,0.484,0.3181818181818182,0.154
26,0.33333333333333337,0.7851500789889415,11369,6,0.5481167913812849,44940,0.522,0.4789272030651341,0.25
27,0.22222222222222232,0.7857142857142857,10956,6,0.5382679444919644,40954,0.49,0.47346938775510206,0.232
28,0.11111111111111116,0.7194492254733219,10740,6,0.5405319139713353,42489,0.514,0.3657587548638132,0.188
29,0.0,0.728,10352,5,0.5505668401181055,38954,0.474,0.42616033755274263,0.20199999999999999
30,1.0,0.7145187601957586,12120,6,0.577237791229618,49583,0.462,0.24242424242424243,0.112
