,mean_inoculum_host,mutant_frac,num_genomes,max_gen_distance,gen_variance,ssq_genomes,infected_hosts,mut_frac_inf_hosts,mut_frac_hosts
0,10.0,0.9291368262344516,11361,4,0.21666766184517589,42794,0.488,0.22950819672131148,0.112
1,9.0,0.9269102990033222,11684,5,0.22212525261534452,43685,0.502,0.21115537848605578,0.106
2,8.0,0.9049111807732497,11140,4,0.24531105660292216,41368,0.462,0.21212121212121213,0.098
3,7.0,0.90464048954615,11096,5,0.26263430504130175,41051,0.518,0.277992277992278,0.14400000000000002
4,6.0,0.8821548821548821,11155,4,0.2783247909886384,41014,0.458,0.23580786026200873,0.108
5,5.0,0.864951768488746,10767,5,0.3205402263808102,37807,0.534,0.21348314606741572,0.114
6,4.0,0.8614298323036187,11118,5,0.37017532669949715,40606,0.498,0.36947791164658633,0.184
7,3.0,0.8237113402061855,10701,5,0.40225711673896997,37951,0.526,0.34980988593155893,0.184
8,2.0,0.8348765432098766,10355,5,0.4629403169612974,37170,0.474,0.5485232067510548,0.25999999999999995
9,1.0,0.779874213836478,10486,6,0.5819539355472065,40787,0.5,0.44,0.22
10,10.0,0.9284116331096197,11251,4,0.21287413032449246,41947,0.504,0.23809523809523808,0.12
11,9.0,0.9190871369294605,11447,4,0.22887299261826383,43043,0.504,0.2261904761904762,0.114
12,8.0,0.9123921924648207,11311,4,0.24334704737278096,41994,0.49,0.21224489795918366,0.104
13,7.0,0.9102333931777379,11123,4,0.25792252510078534,40817,0.53,0.24528301886792453,0.13
14,6.0,0.8903508771929824,11152,4,0.29261705732088134,41168,0.538,0.25650557620817843,0.138
15,5.0,0.8572778827977315,11003,4,0.3200620580463671,39879,0.426,0.29107981220657275,0.12399999999999999
16,4.0,0.8389760528488852,11161,4,0.3553405374727254,40841,0.518,0.2471042471042471,0.128
17,3.0,0.8299632352941176,10956,5,0.4230825772471546,40603,0.546,0.32234432234432236,0.17600000000000002
18,2.0,0.7906647807637907,10762,5,0.4618004023531418,39010,0.506,0.4150197628458498,0.21
19,1.0,0.7628865979381443,10872,5,0.533533689704426,42229,0.548,0.3284671532846715,0.18
20,10.0,0.9217391304347826,11411,4,0.21919978586127967,42582,0.422,0.1895734597156398,0.07999999999999999
21,9.0,0.9236990154711674,11610,4,0.2221704758661672,43045,0.54,0.1962962962962963,0.10600000000000001
22,8.0,0.9148732663797227,11070,4,0.23867803556084335,40746,0.46,0.22608695652173913,0.10400000000000001
23,7.0,0.9067357512953368,11202,4,0.2653047694922487,41323,0.53,0.2528301886792453,0.134
24,6.0,0.86468200270636,11448,4,0.29029687027685364,41849,0.514,0.22178988326848248,0.114
25,5.0,0.8550847457627119,11050,4,0.3073102024938064,40016,0.452,0.24336283185840707,0.11
26,4.0,0.8579545454545454,10964,5,0.3414586173102619,39234,0.522,0.32950191570881227,0.17200000000000001
27,3.0,0.8132295719844358,10619,4,0.41892353478810346,39189,0.544,0.29411764705882354,0.16
28,2.0,0.7619047619047619,10807,5,0.4481969192743199,39329,0.546,0.358974358974359,0.196
29,1.0,0.7496251874062968,10638,6,0.5166801034407154,39132,0.524,0.36259541984732824,0.19
30,10.0,0.9145189003436426,11154,4,0.2020771178817275,41765,0.456,0.12719298245614036,0.058
31,9.0,0.9259436215957955,11063,4,0.23669812352023714,41115,0.448,0.3080357142857143,0.138
