,mutate_in_host,mutate_in_vector,mutant_frac,num_genomes,max_gen_distance,gen_variance,ssq_genomes,infected_hosts,mut_frac_inf_hosts,mut_frac_hosts
0,0.015,0.015,0.631578947368421,1309,6,0.6128973709075267,4041,0.272,0.4852941176470588,0.132
1,0.015,0.014473684210526316,0.7647058823529411,1223,4,0.46855814121408357,3500,0.208,0.6923076923076923,0.144
2,0.015,0.013947368421052632,0.40384615384615385,1321,5,0.5017750299276635,3387,0.164,0.24390243902439024,0.04
3,0.015,0.013421052631578948,0.40425531914893614,1092,4,0.5169086865515437,3385,0.26,0.13846153846153847,0.036000000000000004
4,0.015,0.012894736842105263,0.5076923076923077,1212,5,0.452128876253962,3046,0.2,0.36,0.072
5,0.015,0.012368421052631579,0.49122807017543857,1163,4,0.43915689328973234,3117,0.184,0.3695652173913043,0.06799999999999999
6,0.015,0.011842105263157895,0.6212121212121212,970,5,0.4257848868105005,2483,0.2,0.5,0.1
7,0.015,0.011315789473684211,0.4489795918367347,1108,4,0.3604854422708494,2707,0.144,0.25,0.036
8,0.015,0.010789473684210526,0.7213114754098361,995,4,0.3177354107219515,2062,0.196,0.6530612244897959,0.128
9,0.015,0.010263157894736842,0.631578947368421,1163,6,0.5689306793220901,3173,0.152,0.4473684210526316,0.068
10,0.015,0.009736842105263158,0.2876712328767123,1024,4,0.4777212142944336,2517,0.232,0.10344827586206896,0.024
11,0.015,0.009210526315789475,0.6296296296296297,1129,4,0.37747726614788,2688,0.176,0.5454545454545454,0.09599999999999999
12,0.015,0.00868421052631579,1.0,904,5,0.6572166966872895,4672,0.204,1.0,0.204
13,0.015,0.008157894736842107,0.8243243243243243,1012,4,0.4180701151400585,2570,0.228,0.7719298245614035,0.176
14,0.015,0.007631578947368422,1.0,1045,5,0.4644893660859412,4503,0.152,1.0,0.152
15,0.015,0.007105263157894738,0.7976190476190477,991,4,0.40930025120127567,2670,0.252,0.7301587301587301,0.184
16,0.015,0.006578947368421054,0.5897435897435898,984,5,0.5050895630907528,3588,0.136,0.5294117647058824,0.07200000000000001
17,0.015,0.00605263157894737,0.42857142857142855,860,5,0.3265548945375879,1792,0.088,0.2727272727272727,0.023999999999999997
18,0.015,0.0055263157894736865,0.5777777777777777,1026,3,0.24810388001626335,1879,0.152,0.5,0.076
19,0.015,0.005,1.0,935,4,0.3847110297692243,2444,0.164,1.0,0.164
20,0.014473684210526316,0.015,1.0,1257,6,0.9814214622457911,8054,0.208,1.0,0.208
21,0.014473684210526316,0.014473684210526316,0.7446808510638298,1061,4,0.3275483001560777,2248,0.168,0.7142857142857143,0.12000000000000001
22,0.014473684210526316,0.013947368421052632,0.6785714285714286,1230,5,0.47113226254213764,3356,0.176,0.5909090909090909,0.104
23,0.014473684210526316,0.013421052631578948,0.45614035087719296,1332,7,0.5515786056326597,4160,0.188,0.3404255319148936,0.064
24,0.014473684210526316,0.012894736842105263,0.40384615384615385,1078,4,0.3921824928318435,2485,0.168,0.2619047619047619,0.044000000000000004
25,0.014473684210526316,0.012368421052631579,0.6714285714285714,1098,5,0.6391816881828528,4222,0.192,0.5208333333333334,0.1
26,0.014473684210526316,0.011842105263157895,0.625,1212,5,0.459172711825638,2927,0.168,0.5,0.084
27,0.014473684210526316,0.011315789473684211,0.6323529411764706,1170,5,0.533570019723866,3412,0.188,0.46808510638297873,0.08800000000000001
28,0.014473684210526316,0.010789473684210526,0.3283582089552239,1036,5,0.5693145227411637,3409,0.224,0.19642857142857142,0.044
29,0.014473684210526316,0.010263157894736842,0.5737704918032787,1217,4,0.41736857136876987,3188,0.184,0.43478260869565216,0.08
30,0.014473684210526316,0.009736842105263158,0.47,1083,5,0.39310795821258443,2451,0.28,0.24285714285714285,0.068
31,0.014473684210526316,0.009210526315789475,0.4791666666666667,968,5,0.47501771566149853,2379,0.14,0.2857142857142857,0.04
32,0.014473684210526316,0.00868421052631579,0.37142857142857144,1011,4,0.4281508745050733,2366,0.224,0.21428571428571427,0.048
33,0.014473684210526316,0.008157894736842107,0.4090909090909091,938,3,0.250308009147076,1806,0.192,0.1875,0.036000000000000004
34,0.014473684210526316,0.007631578947368422,0.5833333333333334,986,5,0.6515023719496892,3608,0.136,0.4117647058823529,0.056
35,0.014473684210526316,0.007105263157894738,0.6578947368421053,963,4,0.3659341642862765,2464,0.212,0.5094339622641509,0.108
36,0.014473684210526316,0.006578947368421054,0.651685393258427,992,5,0.6343398396852237,2943,0.236,0.4745762711864407,0.112
37,0.014473684210526316,0.00605263157894737,1.0,848,5,0.38024541651833393,4220,0.228,1.0,0.228
38,0.014473684210526316,0.0055263157894736865,0.75,772,5,0.38310256651185265,1941,0.16,0.675,0.10800000000000001
39,0.014473684210526316,0.005,0.47619047619047616,804,4,0.25062962550431916,1423,0.208,0.36538461538461536,0.076
40,0.013947368421052632,0.015,0.5,1377,4,0.405188676508824,3718,0.124,0.3225806451612903,0.04
41,0.013947368421052632,0.014473684210526316,0.8153846153846154,1272,6,1.0654518215260471,8234,0.236,0.7966101694915254,0.188
42,0.013947368421052632,0.013947368421052632,1.0,1242,5,0.5607339468573102,4636,0.08,1.0,0.08
43,0.013947368421052632,0.013421052631578948,0.5245901639344263,1286,5,0.7812843905777979,5129,0.18,0.35555555555555557,0.064
44,0.013947368421052632,0.012894736842105263,0.6451612903225806,1266,5,0.48532465328471713,3433,0.112,0.6071428571428571,0.06799999999999999
45,0.013947368421052632,0.012368421052631579,0.7368421052631579,1247,5,0.41817893015410196,3068,0.164,0.6341463414634146,0.10400000000000001
46,0.013947368421052632,0.011842105263157895,0.9166666666666666,1156,5,0.5612024221453287,3729,0.268,0.8955223880597015,0.24000000000000002
47,0.013947368421052632,0.011315789473684211,0.5,907,4,0.32865535605100116,1899,0.176,0.3181818181818182,0.055999999999999994
48,0.013947368421052632,0.010789473684210526,0.6101694915254238,1059,4,0.602735133274661,4040,0.184,0.5,0.092
49,0.013947368421052632,0.010263157894736842,0.6739130434782609,999,4,0.5360134909684459,2833,0.136,0.5588235294117647,0.07600000000000001
50,0.013947368421052632,0.009736842105263158,0.6142857142857143,741,6,1.0278957020913122,3203,0.208,0.4807692307692308,0.09999999999999999
51,0.013947368421052632,0.009210526315789475,0.5466666666666666,1043,4,0.3242288221986691,2307,0.236,0.423728813559322,0.09999999999999999
52,0.013947368421052632,0.00868421052631579,0.74,999,5,0.564239915591267,3399,0.156,0.6666666666666666,0.104
53,0.013947368421052632,0.008157894736842107,1.0,1023,4,0.5726434718961444,3863,0.22,1.0,0.22
54,0.013947368421052632,0.007631578947368422,1.0,822,5,0.6049869465608184,3882,0.184,1.0,0.184
55,0.013947368421052632,0.007105263157894738,0.5783132530120482,932,4,0.3984877231114959,2298,0.232,0.39655172413793105,0.09200000000000001
56,0.013947368421052632,0.006578947368421054,0.41379310344827586,847,4,0.3519470762145443,1970,0.184,0.2608695652173913,0.048
57,0.013947368421052632,0.00605263157894737,0.5636363636363636,839,3,0.2591171452478332,1582,0.176,0.45454545454545453,0.07999999999999999
58,0.013947368421052632,0.0055263157894736865,0.09302325581395349,892,5,0.5211094130185605,2606,0.156,0.0,0.0
59,0.013947368421052632,0.005,0.4507042253521127,851,5,0.46764917474568524,2811,0.22,0.2909090909090909,0.064
60,0.013421052631578948,0.015,0.4489795918367347,1272,6,0.7657819854831692,4659,0.164,0.34146341463414637,0.05600000000000001
61,0.013421052631578948,0.014473684210526316,0.5,1276,5,0.4632195782274153,3729,0.16,0.325,0.052000000000000005
62,0.013421052631578948,0.013947368421052632,0.855072463768116,1369,5,0.7023099936451564,4643,0.204,0.803921568627451,0.164
63,0.013421052631578948,0.013421052631578948,1.0,1281,5,0.6288461456427057,4553,0.152,1.0,0.152
64,0.013421052631578948,0.012894736842105263,1.0,1008,6,0.8307823129251702,5466,0.18,1.0,0.18
65,0.013421052631578948,0.012368421052631579,0.7368421052631579,1198,5,0.6438478432334359,4269,0.16,0.625,0.1
66,0.013421052631578948,0.011842105263157895,0.4032258064516129,870,5,0.3559003831417624,2097,0.204,0.27450980392156865,0.056
67,0.013421052631578948,0.011315789473684211,0.38095238095238093,1125,4,0.521430913580247,3284,0.136,0.23529411764705882,0.032
68,0.013421052631578948,0.010789473684210526,1.0,1041,5,0.6893892206285799,6127,0.272,1.0,0.272
69,0.013421052631578948,0.010263157894736842,1.0,944,5,0.6109235851766732,4814,0.116,1.0,0.116
70,0.013421052631578948,0.009736842105263158,0.625,1070,4,0.3509520482138178,2549,0.204,0.4117647058823529,0.08399999999999999
71,0.013421052631578948,0.009210526315789475,0.3137254901960784,1041,3,0.2056324693336877,1761,0.156,0.10256410256410256,0.016
72,0.013421052631578948,0.00868421052631579,0.32432432432432434,933,4,0.36822291838265614,2075,0.128,0.21875,0.028
73,0.013421052631578948,0.008157894736842107,0.42424242424242425,865,4,0.46415984496642054,2425,0.116,0.3448275862068966,0.04000000000000001
74,0.013421052631578948,0.007631578947368422,0.6666666666666666,1015,6,0.4246218059161835,2511,0.136,0.5,0.068
75,0.013421052631578948,0.007105263157894738,0.3953488372093023,865,5,0.48873801329813893,2135,0.14,0.2571428571428571,0.036
76,0.013421052631578948,0.006578947368421054,0.26666666666666666,759,4,0.4660629321223925,2054,0.148,0.10810810810810811,0.016
77,0.013421052631578948,0.00605263157894737,0.47368421052631576,875,5,0.4679262040816328,2091,0.164,0.2682926829268293,0.044000000000000004
78,0.013421052631578948,0.0055263157894736865,0.3670886075949367,757,5,0.6327766037459275,2553,0.244,0.18032786885245902,0.044
79,0.013421052631578948,0.005,0.17543859649122806,770,4,0.3595024456063417,1599,0.2,0.06,0.012
80,0.012894736842105263,0.015,1.0,1271,6,0.6606951290700187,3853,0.084,1.0,0.084
81,0.012894736842105263,0.014473684210526316,0.5483870967741935,1425,5,0.4869111726685133,4078,0.252,0.3333333333333333,0.08399999999999999
82,0.012894736842105263,0.013947368421052632,0.8181818181818182,1201,5,0.4464819422615486,3255,0.124,0.7419354838709677,0.092
