,mean_inoculum_host,mean_inoculum_vector,mutant_frac,num_genomes,max_gen_distance,gen_variance,ssq_genomes,infected_hosts,mut_frac_inf_hosts,mut_frac_hosts
0,10.0,10.0,0.7862595419847328,839,3,0.31601273438354593,2383,0.132,0.15151515151515152,0.02
1,10.0,9.526315789473685,0.7921348314606742,904,3,0.29030146252643124,2585,0.188,0.2127659574468085,0.04
2,10.0,9.052631578947368,0.7772020725388601,990,3,0.292129374553617,2568,0.204,0.1568627450980392,0.032
3,10.0,8.578947368421053,0.7783018867924528,867,3,0.28344434999048806,2286,0.236,0.2033898305084746,0.048
4,10.0,8.105263157894736,0.7374301675977654,847,3,0.28067950081473747,2154,0.188,0.0,0.0
5,10.0,7.631578947368421,0.7092198581560284,859,3,0.30583793321687375,2212,0.176,0.06818181818181818,0.011999999999999999
6,10.0,7.157894736842105,0.7318181818181818,883,3,0.32472947547034775,2263,0.26,0.09230769230769231,0.024
7,10.0,6.684210526315789,0.6737588652482269,922,4,0.2954778586586737,2323,0.192,0.041666666666666664,0.008
8,10.0,6.210526315789474,0.7692307692307693,928,3,0.2987839997027349,2444,0.128,0.25,0.032
9,10.0,5.736842105263158,0.654320987654321,897,4,0.3033995394036109,2319,0.12,0.06666666666666667,0.008
10,10.0,5.2631578947368425,0.6,886,3,0.29310849991592325,2135,0.148,0.02702702702702703,0.004
11,10.0,4.7894736842105265,0.5862068965517241,762,3,0.32265725642562393,1895,0.16,0.1,0.016
12,10.0,4.315789473684211,0.6065573770491803,909,4,0.3225996967133457,2331,0.216,0.1111111111111111,0.023999999999999997
13,10.0,3.8421052631578947,0.56,855,3,0.2895030949693923,1901,0.192,0.08333333333333333,0.016
14,10.0,3.3684210526315796,0.5643564356435643,859,4,0.38638750692862395,2463,0.192,0.08333333333333333,0.016
15,10.0,2.8947368421052637,0.6666666666666666,982,4,0.4133921793919885,2734,0.156,0.23076923076923078,0.036000000000000004
16,10.0,2.421052631578948,0.6962025316455697,891,4,0.30668324345840253,1941,0.196,0.5102040816326531,0.1
